sample_id,county,region,altitude_m,annual_rainfall_mm,temp_max_c,temp_min_c,soil_ph,humidity_pct,soil_nitrogen_pct,organic_carbon_pct,slope_degrees,drainage,soil_type,dominant_land_use,suitable_tea,suitable_maize,suitable_wheat,suitable_sorghum,suitable_coffee,suitable_beans
1,Elgeyo Marakwet,Rift Valley,1915.0,1357.2,18.5,9.1,5.79,56.2,1.037,2.716,29.5,Well drained,Eutric Vertisols,Maize/Wheat,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
2,West Pokot,Rift Valley,1941.2,1360.3,28.5,17.4,5.66,60.9,1.118,1.708,20.2,Moderately drained,Chromic Luvisols,Sorghum/Livestock,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
3,Embu,Eastern,1325.1,1437.7,25.1,13.4,5.55,66.0,1.463,2.645,12.0,Moderately drained,Chromic Cambisols,Coffee/Tea,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
4,Kericho,Rift Valley,2193.3,1742.2,22.5,15.1,5.17,81.9,2.553,3.253,2.8,Well drained,Humic Nitisols,Tea/Forest,Highly Suitable,Highly Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Highly Suitable
5,Tharaka Nithi,Eastern,853.6,1038.5,24.6,14.4,5.58,56.7,0.55,1.513,14.7,Moderately drained,Chromic Cambisols,Mango/Miraa,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
6,Trans Nzoia,Rift Valley,2209.4,1115.9,20.4,12.2,5.76,66.1,0.943,1.607,5.0,Well drained,Mollic Andosols,Wheat/Maize,Moderately Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
7,Nyamira,Nyanza,1880.8,1516.8,24.4,13.4,5.48,73.7,1.81,2.737,9.4,Moderately drained,Humic Nitisols,Tea/Banana,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
8,Kitui,Eastern,1558.4,853.7,29.1,22.4,9.02,43.1,0.418,0.664,7.3,Moderately drained,Ferralic Cambisols,Sorghum/Cotton,Not Suitable,Moderately Suitable,Moderately Suitable,Moderately Suitable,Not Suitable,Moderately Suitable
9,Nandi,Rift Valley,1702.0,1455.8,21.6,15.0,4.91,78.1,1.755,3.363,12.1,Well drained,Humic Nitisols,Tea/Maize,Highly Suitable,Highly Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Highly Suitable
10,Kisii,Nyanza,1629.3,1739.2,25.7,15.7,5.75,80.0,1.748,1.988,18.2,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
11,Murang'a,Central,1459.5,1444.7,26.5,13.8,5.38,73.1,1.816,2.12,9.0,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
